full_name,position,current_team,current_age,years_exp,talent_ppg,availability_score,risk_cv,dcf_value,replacement_value,vorp
Mike Evans,WR,TB,33,11,13.26,0.77,0.57,86.69,51.15,33.51
Jaylen Warren,RB,PIT,28,3,9.10,0.88,0.56,187.35,154.55,30.98
Amari Cooper,WR,LV,32,10,10.97,0.85,0.72,120.19,87.60,30.25
Jayden Reed,WR,GB,26,2,7.98,0.73,0.57,259.24,227.58,29.87
Ezekiel Elliott,RB,LAC,31,8,9.11,0.88,0.66,95.56,64.29,29.21
Tyjae Spears,RB,TEN,25,2,7.57,0.80,0.68,255.81,224.59,29.08
Rico Dowdle,RB,CAR,28,5,9.08,0.79,0.75,167.17,138.18,26.82
Maxx Crosby,DL,LV,29,6,14.83,0.85,0.66,244.20,215.65,26.66
Kareem Hunt,RB,KC,31,8,9.03,0.83,0.69,88.87,60.37,26.55
Zack Moss,RB,CIN,29,4,8.80,0.72,0.82,125.64,97.64,25.69
Cooper Kupp,WR,SEA,33,8,11.95,0.77,0.62,78.18,51.19,25.32
Devin Singletary,RB,NYG,29,6,8.34,0.89,0.69,148.72,121.81,25.05
Darrell Henderson,RB,LA,29,4,8.96,0.62,0.57,110.41,84.22,24.69
Dalvin Cook,RB,DAL,31,7,9.32,0.67,0.79,74.45,48.98,23.46
Keenan Allen,WR,LAC,34,12,13.04,0.83,0.57,60.49,36.05,23.04
Calvin Ridley,WR,TEN,32,7,10.59,0.74,0.64,100.31,75.71,23.04
Ricky Pearsall,WR,SF,26,1,7.86,0.64,0.73,224.07,199.65,22.64
Christian Kirk,WR,HOU,30,7,9.68,0.73,0.63,154.19,130.48,22.20
Brian Branch,DB,DET,25,2,10.96,0.82,0.71,332.41,309.63,21.17
Adonai Mitchell,WR,NYJ,24,1,6.74,0.79,1.01,324.10,300.78,20.97
Nick Chubb,RB,HOU,31,7,8.91,0.67,0.65,71.22,48.99,20.78
Isiah Pacheco,RB,KC,27,3,9.22,0.73,0.65,172.27,150.36,20.49
Bam Knight,RB,ARI,25,3,7.60,0.54,0.72,174.37,152.49,20.30
Darnell Mooney,WR,ATL,29,5,9.23,0.81,0.68,152.89,132.17,19.32
Nick Bosa,DL,SF,29,6,14.56,0.70,0.50,195.97,176.23,18.74
Khalil Shakir,WR,BUF,26,3,7.54,0.80,0.63,224.34,204.67,18.43
Tre Tucker,WR,LV,25,2,7.37,0.86,0.85,294.31,274.64,18.00
Miles Sanders,RB,DAL,29,6,8.29,0.67,0.77,110.77,91.34,17.94
Alexander Mattison,RB,MIA,28,6,8.46,0.87,0.82,171.15,151.73,17.83
Darrel Williams,RB,NO,31,5,8.17,0.73,0.84,71.16,53.37,16.29
Xavier Legette,WR,CAR,25,1,7.32,0.85,0.80,289.50,271.83,16.26
Bryce Young,QB,CAR,25,2,14.83,0.88,0.60,1129.51,1112.60,15.90
Josh Palmer,WR,BUF,27,4,7.63,0.78,0.75,155.84,140.38,14.31
Tyrone Tracy Jr.,RB,NYG,27,1,8.89,0.88,0.68,202.34,188.30,13.08
Chase Claypool,WR,BUF,28,4,7.93,0.74,0.73,142.79,129.57,12.26
Rashid Shaheed,WR,SEA,28,3,7.89,0.75,0.64,142.22,129.73,11.69
Kimani Vidal,RB,LAC,25,1,7.05,0.70,0.99,208.39,196.27,10.92
T.J. Watt,LB,PIT,32,8,15.93,0.81,0.66,61.95,50.31,10.87
Jauan Jennings,WR,SF,29,5,8.71,0.79,0.87,140.08,128.44,10.64
Derek Carr,QB,NO,35,11,17.35,0.83,0.39,198.32,187.31,10.58
James Robinson,RB,NO,28,4,8.00,0.59,0.75,109.85,98.60,10.40
Rondale Moore,WR,MIN,26,4,7.23,0.80,0.74,213.78,203.31,9.69
Mike Williams,WR,LAC,32,8,9.11,0.68,0.76,74.11,64.11,9.24
Matthew Stafford,QB,LA,38,16,20.67,0.86,0.40,42.10,32.87,8.86
Gus Edwards,RB,LAC,31,6,7.09,0.76,0.82,59.72,50.55,8.42
Russell Gage,WR,SF,30,7,8.55,0.81,0.65,126.26,117.49,8.20
Antonio Gibson,RB,NE,28,5,7.99,0.76,0.59,141.12,132.41,8.20
Sony Michel,RB,LA,31,5,6.98,0.79,0.96,61.38,52.77,7.78
T.J. Hockenson,TE,MIN,29,6,9.66,0.79,0.65,103.69,95.51,7.65
Melvin Gordon,RB,BAL,33,8,8.19,0.65,0.57,27.76,19.92,7.39
AJ Dillon,RB,PHI,28,5,7.94,0.74,0.71,137.41,129.68,7.18
