full_name,position,current_team,current_age,years_exp,talent_ppg,availability_score,risk_cv,dcf_value,replacement_value,vorp
Cedrick Wilson Jr.,WR,MIA,31,7,5.07,0.60,0.85,0.00,0.00,0.00
Larry Ogunjobi,DL,BUF,32,8,5.54,0.69,0.88,0.00,0.00,0.00
Robert Beal Jr.,DL,SF,27,2,3.57,0.44,1.26,0.00,0.00,0.00
Michael Bandy,WR,DEN,29,4,4.74,0.36,0.76,0.00,0.00,0.00
Austin Trammell,WR,JAX,28,4,4.68,0.33,0.71,0.00,0.00,0.00
Tim Jones,WR,JAX,28,4,3.90,0.39,0.52,0.00,0.00,0.00
Dominique Dafney,TE,CAR,29,5,3.32,0.71,0.56,0.00,0.00,0.00
Chapelle Russell,LB,WAS,29,4,4.39,0.74,0.91,0.00,0.00,0.00
Dre Kirkpatrick,DB,SF,37,9,5.13,0.71,0.60,0.00,0.00,0.00
Tanner McKee,QB,PHI,26,2,10.52,0.46,1.08,0.00,0.00,0.00
Kyle Dugger,DB,PIT,30,5,8.98,0.79,0.79,0.00,0.00,0.00
Colby Parkinson,TE,LA,27,5,5.60,0.73,0.85,0.00,0.00,0.00
Lee Smith,TE,ATL,39,10,3.35,0.75,0.88,0.00,0.00,0.00
Julian Blackmon,DB,NO,28,5,7.56,0.63,0.70,0.00,0.00,0.00
Jeremy Chinn,DB,LV,28,5,7.90,0.78,0.69,0.00,0.00,0.00
Bradlee Anae,DL,NYJ,28,4,4.30,0.69,0.00,0.00,0.00,0.00
Deommodore Lenoir,DB,SF,27,4,6.95,0.84,0.79,0.00,0.00,0.00
Jarrett Stidham,QB,DEN,30,6,10.85,0.32,1.15,0.00,0.00,0.00
Jordan Fuller,DB,ATL,28,5,6.32,0.56,0.68,0.00,0.00,0.00
Dre Greenlaw,LB,DEN,29,6,7.61,0.57,0.69,0.00,0.00,0.00
Braxton Berrios,WR,HOU,31,7,5.14,0.51,0.89,0.00,0.00,0.00
Bilal Nichols,DL,ARI,30,7,4.62,0.52,0.75,0.00,0.00,0.00
Laquon Treadwell,WR,IND,31,9,4.80,0.44,0.82,0.00,0.00,0.00
Sheldon Day,DL,WAS,32,9,4.13,0.43,0.67,0.00,0.00,0.00
Robbie Chosen,WR,WAS,33,9,7.21,0.42,0.78,0.00,0.00,0.00
Jonathan Ford,DL,GB,28,3,4.16,0.40,0.81,0.00,0.00,0.00
Richie Grant,DB,NE,31,4,6.85,0.60,0.69,0.00,0.00,0.00
Marlon Tuipulotu,DL,KC,27,4,4.72,0.33,1.06,0.00,0.00,0.00
Mason Kinsey,WR,TEN,28,5,4.09,0.32,0.49,0.00,0.00,0.00
Darian Thompson,DB,DAL,33,5,5.04,0.69,0.47,0.00,0.00,0.00
Emmanuel Ellerbee,LB,ATL,30,3,4.51,0.69,0.00,0.00,0.00,0.00
Kurt Benkert,QB,SF,31,4,10.83,0.71,0.00,0.00,0.00,0.00
Bunmi Rotimi,DL,WAS,30,4,4.54,0.72,1.36,0.00,0.00,0.00
Vyncint Smith,WR,IND,30,5,0.00,0.68,,0.00,0.00,0.00
Kareem Orr,DB,LA,29,2,5.33,0.68,0.00,0.00,0.00,0.00
Xavier Gipson,WR,NYG,25,2,4.06,0.55,0.90,0.00,0.00,0.00
Emeke Egbule,LB,PIT,30,3,4.62,0.69,0.00,0.00,0.00,0.00
Alex Austin,DB,NE,25,2,5.50,0.45,0.61,0.00,0.00,0.00
Dane Belton,DB,NYG,26,3,7.06,0.74,0.93,0.00,0.00,0.00
Roger McCreary,DB,LA,26,3,7.28,0.76,0.63,0.00,0.00,0.00
Logan Hall,DL,TB,26,3,5.56,0.67,1.07,0.00,0.00,0.00
Cade Otton,TE,TB,27,3,7.42,0.84,0.75,0.00,0.00,0.00
Raequan Williams,DL,CAR,29,4,4.47,0.68,0.00,0.00,0.00,0.00
LaJohntay Wester,WR,BAL,24,0,0.00,0.48,,0.00,0.00,0.00
Cameron Malveaux,DL,PHI,32,5,4.63,0.68,0.00,0.00,0.00,0.00
Kai Nacua,DB,NYJ,31,5,5.04,0.69,0.47,0.00,0.00,0.00
Ethan Wolf,TE,NO,31,3,3.33,0.68,0.00,0.00,0.00,0.00
Vince Biegel,LB,BAL,33,5,4.51,0.69,0.00,0.00,0.00,0.00
Robert Jackson,DB,BAL,33,4,5.18,0.68,0.00,0.00,0.00,0.00
Joshua Williams,DB,KC,27,3,5.22,0.57,0.91,0.00,0.00,0.00
Rodney Adams,WR,NYJ,32,5,0.00,0.68,,0.00,0.00,0.00
Davion Davis,WR,WAS,30,5,4.96,0.69,0.00,0.00,0.00,0.00
Sammis Reyes,TE,MIN,31,3,0.00,0.66,,0.00,0.00,0.00
Myles Price,WR,MIN,25,0,0.00,0.48,,0.00,0.00,0.00
Brandon Rusnak,DB,JAX,31,3,5.18,0.68,0.00,0.00,0.00,0.00
Connor Strachan,LB,HOU,31,2,0.00,0.68,,0.00,0.00,0.00
Jonathan Marshall,DL,JAX,29,3,4.59,0.68,0.00,0.00,0.00,0.00
Pooka Williams,RB,CIN,28,1,0.00,0.65,,0.00,0.00,0.00
Nickell Robey,DB,LV,34,9,5.27,0.68,0.00,0.00,0.00,0.00
Chris Smith,LB,HOU,34,7,5.15,0.72,1.00,0.00,0.00,0.00
Edmond Robinson,LB,SEA,34,6,0.00,0.68,,0.00,0.00,0.00
Jake Fromm,QB,DET,28,4,11.04,0.74,1.10,0.00,0.00,0.00
Landen Akers,WR,LA,29,1,0.00,0.68,,0.00,0.00,0.00
Tavius Robinson,LB,BAL,27,2,5.91,0.67,1.09,0.00,0.00,0.00
Cam Jones,LB,NYJ,27,2,4.40,0.39,1.11,0.00,0.00,0.00
Nikko Remigio,WR,KC,27,2,4.83,0.40,0.79,0.00,0.00,0.00
Tyree Wilson,DL,LV,26,2,6.66,0.74,1.11,0.00,0.00,0.00
Brady Breeze,DB,CLE,29,3,4.91,0.71,0.69,0.00,0.00,0.00
Tyler Higbee,TE,LA,33,9,7.93,0.63,0.64,0.00,0.00,0.00
Darius Slay,DB,BUF,35,12,8.07,0.74,0.84,0.00,0.00,0.00
Javon Hargrave,DL,MIN,33,9,7.85,0.69,0.95,0.00,0.00,0.00
Dontayvion Wicks,WR,GB,25,2,6.83,0.80,0.82,0.00,0.00,0.00
Carrington Valentine,DB,GB,25,2,5.48,0.72,0.79,0.00,0.00,0.00
Moro Ojomo,DL,PHI,25,2,4.83,0.64,1.12,0.00,0.00,0.00
Kendall Williamson,DB,LAC,26,2,4.16,0.48,0.37,0.00,0.00,0.00
Hunter Henry,TE,NE,32,9,7.94,0.86,0.67,0.00,0.00,0.00
Xavier Williams,DL,HOU,34,6,0.00,0.66,,0.00,0.00,0.00
Jason Brownlee,WR,KC,27,2,4.75,0.42,0.67,0.00,0.00,0.00
Trenton Simpson,LB,BAL,25,2,6.79,0.64,0.84,0.00,0.00,0.00
Ventrell Miller,LB,JAX,27,2,5.12,0.81,0.70,0.00,0.00,0.00
Percy Butler,DB,WAS,26,3,4.25,0.65,0.82,0.00,0.00,0.00
Akayleb Evans,DB,CAR,27,3,5.48,0.51,0.84,0.00,0.00,0.00
Tyquan Thornton,WR,KC,26,3,6.04,0.55,0.85,0.00,0.00,0.00
Eyioma Uwazurike,DL,DEN,28,3,4.75,0.56,0.86,0.00,0.00,0.00
Daniel Bellinger,TE,NYG,26,3,3.75,0.65,0.74,0.00,0.00,0.00
Noah Sewell,LB,CHI,24,2,4.19,0.55,0.78,0.00,0.00,0.00
Dee Winters,LB,SF,26,2,5.95,0.76,0.95,0.00,0.00,0.00
Shelby Harris,DL,CLE,35,11,5.45,0.79,0.74,0.00,0.00,0.00
Quentin Lake,DB,LA,27,3,7.65,0.69,0.72,0.00,0.00,0.00
Ji'Ayir Brown,DB,SF,26,2,6.38,0.78,0.84,0.00,0.00,0.00
Kyle Hamilton,DB,BAL,25,3,9.96,0.86,0.83,0.00,0.00,0.00
Jack Jones,DB,MIA,29,3,7.77,0.81,0.80,0.00,0.00,0.00
Jake Ferguson,TE,DAL,27,3,8.53,0.86,0.66,0.00,0.00,0.00
Boye Mafe,LB,SEA,28,3,7.17,0.83,0.91,0.00,0.00,0.00
Skyy Moore,WR,SF,26,3,4.40,0.53,0.86,0.00,0.00,0.00
Sydney Brown,DB,PHI,26,2,4.74,0.63,1.20,0.00,0.00,0.00
Garrett Williams,DB,ARI,25,2,5.93,0.72,0.69,0.00,0.00,0.00
Riley Moss,DB,DEN,26,2,8.09,0.73,0.73,0.00,0.00,0.00
Daiyan Henley,LB,LAC,27,2,7.79,0.79,0.86,0.00,0.00,0.00
Daniel Hardy,DL,CHI,28,3,3.38,0.48,0.83,0.00,0.00,0.00
Mark Robinson,LB,CLE,27,3,3.75,0.46,1.31,0.00,0.00,0.00
Darius Bradwell,RB,CAR,29,2,0.00,0.65,,0.00,0.00,0.00
Rodney Thomas,DB,IND,28,3,4.84,0.60,1.05,0.00,0.00,0.00
Damone Clark,LB,HOU,26,3,4.77,0.65,0.74,0.00,0.00,0.00
Patrick Onwuasor,LB,LV,34,5,0.00,0.68,,0.00,0.00,0.00
Christian Benford,DB,BUF,26,3,7.82,0.79,0.83,0.00,0.00,0.00
Jalen Nailor,WR,MIN,27,3,5.75,0.66,0.85,0.00,0.00,0.00
Andrew Ogletree,TE,IND,28,3,3.05,0.56,0.86,0.00,0.00,0.00
Karl Joseph,DB,PIT,33,6,5.41,0.68,0.00,0.00,0.00,0.00
Derek Rivers,DL,IND,32,7,4.64,0.74,1.50,0.00,0.00,0.00
Daurice Fountain,WR,DET,31,6,4.97,0.69,0.00,0.00,0.00,0.00
Theo Jackson,DB,MIN,28,3,4.87,0.57,1.04,0.00,0.00,0.00
Zyon McCollum,DB,TB,27,3,7.01,0.79,0.79,0.00,0.00,0.00
Eric Johnson,DL,IND,28,3,3.45,0.40,0.64,0.00,0.00,0.00
DaRon Bland,DB,DAL,27,3,9.54,0.72,0.82,0.00,0.00,0.00
Cobie Durant,DB,LA,28,3,6.81,0.74,1.13,0.00,0.00,0.00
Jordan Jackson,DL,DEN,28,3,4.41,0.46,1.48,0.00,0.00,0.00
Bryan Cook,DB,KC,27,3,5.51,0.82,0.75,0.00,0.00,0.00
Jaylen Watson,DB,KC,28,3,6.84,0.73,0.87,0.00,0.00,0.00
Alex Wright,DL,CLE,26,3,7.27,0.59,0.82,0.00,0.00,0.00
Steven Parker,DB,SEA,31,4,5.23,0.71,0.64,0.00,0.00,0.00
Chase Lucas,DB,SF,29,3,4.18,0.43,0.80,0.00,0.00,0.00
Kayvon Thibodeaux,LB,NYG,26,3,9.36,0.70,0.84,0.00,0.00,0.00
Jimmy Moreland,DB,NYJ,31,4,0.00,0.66,,0.00,0.00,0.00
Jessie Lemonier,DL,ARI,29,2,4.70,0.76,0.91,0.00,0.00,0.00
Ko Kieft,TE,TB,28,3,2.59,0.39,0.84,0.00,0.00,0.00
Isaiah Pola-Mao,DB,LV,27,3,6.33,0.74,0.86,0.00,0.00,0.00
Marcelino McCrary-Ball,LB,NYJ,27,3,4.22,0.49,0.91,0.00,0.00,0.00
Segun Olubi,LB,IND,27,3,3.80,0.47,1.13,0.00,0.00,0.00
Lucas Krull,TE,DEN,28,3,3.58,0.46,0.71,0.00,0.00,0.00
Connor Heyward,TE,PIT,27,3,3.32,0.63,0.75,0.00,0.00,0.00
John FitzPatrick,TE,GB,26,3,2.99,0.44,0.83,0.00,0.00,0.00
Ja'Sir Taylor,DB,NYJ,27,3,4.70,0.59,0.67,0.00,0.00,0.00
James Houston,DL,DAL,28,3,6.63,0.55,1.05,0.00,0.00,0.00
Alontae Taylor,DB,NO,28,3,9.43,0.89,0.76,0.00,0.00,0.00
Jermaine Johnson II,LB,NYJ,27,3,7.28,0.65,0.86,0.00,0.00,0.00
Daniel Archibong,DL,PIT,30,1,0.00,0.66,,0.00,0.00,0.00
Buster Skrine,DB,TEN,37,11,5.72,0.74,1.11,0.00,0.00,0.00
Jalen Tolbert,WR,DAL,27,3,6.58,0.65,0.69,0.00,0.00,0.00
Freedom Akinmoladun,DL,NYJ,30,2,4.52,0.68,0.00,0.00,0.00,0.00
Myles Murphy,DL,CIN,24,2,5.91,0.68,0.94,0.00,0.00,0.00
Darrell Baker Jr.,DB,TEN,28,3,5.46,0.66,0.67,0.00,0.00,0.00
Chig Okonkwo,TE,TEN,27,3,5.88,0.89,0.61,0.00,0.00,0.00
Ron'Dell Carter,LB,NE,29,2,0.00,0.68,,0.00,0.00,0.00
Leo Chenal,LB,KC,26,3,5.79,0.78,0.77,0.00,0.00,0.00
Christian Harris,LB,HOU,25,3,7.20,0.55,0.74,0.00,0.00,0.00
Kalia Davis,DL,SF,28,3,4.30,0.53,0.86,0.00,0.00,0.00
Vernon Scott,DB,GB,29,2,5.15,0.68,0.00,0.00,0.00,0.00
Calvin Austin III,WR,PIT,27,3,5.52,0.81,0.87,0.00,0.00,0.00
Arnold Ebiketie,LB,ATL,27,3,6.19,0.80,0.86,0.00,0.00,0.00
Luke Schoonmaker,TE,DAL,28,2,3.64,0.64,0.88,0.00,0.00,0.00
DJ Turner II,DB,CIN,26,2,6.82,0.80,0.73,0.00,0.00,0.00
Jared Mayden,DB,BUF,28,3,4.84,0.71,0.43,0.00,0.00,0.00
Cordale Flott,DB,NYG,25,3,6.03,0.75,0.81,0.00,0.00,0.00
Dondrea Tillman,LB,DEN,28,5,6.62,0.72,0.84,0.00,0.00,0.00
KaVontae Turpin,WR,DAL,30,6,5.10,0.74,0.81,0.00,0.00,0.00
Sam Williams,DL,DAL,27,3,6.28,0.74,0.84,0.00,0.00,0.00
Jeremy Ruckert,TE,NYJ,26,3,3.30,0.62,0.53,0.00,0.00,0.00
Kerby Joseph,DB,DET,26,3,9.46,0.74,0.71,0.00,0.00,0.00
Jacob Hummel,LB,BAL,27,3,3.14,0.47,0.68,0.00,0.00,0.00
Isaiah Coulter,WR,BUF,28,3,0.00,0.68,,0.00,0.00,0.00
Jahan Dotson,WR,PHI,26,3,6.21,0.72,0.84,0.00,0.00,0.00
Daxton Hill,DB,CIN,26,3,7.59,0.71,0.75,0.00,0.00,0.00
Marquez Stevenson,WR,CAR,29,2,0.00,0.68,,0.00,0.00,0.00
Nate Landman,LB,LA,28,3,8.18,0.72,0.68,0.00,0.00,0.00
Jack Gibbens,LB,NE,28,3,6.05,0.68,0.75,0.00,0.00,0.00
Sam Okuayinonu,DL,SF,28,3,5.50,0.72,0.89,0.00,0.00,0.00
John Metchie III,WR,NYJ,26,3,5.24,0.73,0.95,0.00,0.00,0.00
Nick Cross,DB,IND,25,3,7.55,0.81,0.69,0.00,0.00,0.00
Gavin Heslop,DB,CLE,29,3,5.18,0.68,0.00,0.00,0.00,0.00
Khalil Mack,LB,LAC,35,11,11.41,0.77,0.95,0.00,0.00,0.00
Rakeem Nunez-Roches,DL,NYG,33,10,4.88,0.58,0.91,0.00,0.00,0.00
Dante Fowler Jr.,DL,DAL,32,10,7.76,0.77,1.00,0.00,0.00,0.00
Kyle Van Noy,LB,BAL,35,11,8.77,0.83,0.89,0.00,0.00,0.00
Cameron Heyward,DL,PIT,37,14,9.71,0.86,0.69,0.00,0.00,0.00
Nick Bellore,LB,WAS,37,14,2.78,0.52,0.56,0.00,0.00,0.00
Bobby Wagner,LB,WAS,36,13,10.10,0.93,0.66,0.00,0.00,0.00
Javin White,LB,CHI,29,4,0.00,0.66,,0.00,0.00,0.00
Noah Spence,DL,CIN,32,6,4.63,0.69,0.99,0.00,0.00,0.00
Kenny Clark,DL,DAL,31,9,6.02,0.84,0.95,0.00,0.00,0.00
Quandre Diggs,DB,SEA,33,10,6.13,0.72,0.77,0.00,0.00,0.00
DeAndre Carter,WR,CLE,33,10,5.34,0.50,0.92,0.00,0.00,0.00
Alex Singleton,LB,DEN,33,10,8.33,0.77,0.67,0.00,0.00,0.00
Leonard Williams,DL,SEA,32,10,9.79,0.85,0.89,0.00,0.00,0.00
Aaron Rodgers,QB,PIT,43,20,17.79,0.78,0.41,0.00,0.00,0.00
Renell Wren,DL,PIT,31,4,0.00,0.66,,0.00,0.00,0.00
Mike Pennel,DL,KC,35,11,3.88,0.50,1.12,0.00,0.00,0.00
Eddie Goldman,DL,WAS,32,10,4.06,0.55,1.05,0.00,0.00,0.00
Gervon Dexter Sr.,DL,CHI,26,2,6.56,0.79,0.75,0.00,0.00,0.00
Tyrique Stevenson,DB,CHI,26,2,8.74,0.82,0.73,0.00,0.00,0.00
Jakorian Bennett,DB,PHI,26,2,5.35,0.52,0.43,0.00,0.00,0.00
Davis Allen,TE,LA,25,2,3.97,0.59,0.81,0.00,0.00,0.00
Emmanuel Forbes,DB,LA,25,2,7.58,0.67,0.78,0.00,0.00,0.00
Nick Hampton,LB,LA,26,2,3.72,0.40,0.63,0.00,0.00,0.00
Elijah Higgins,TE,ARI,26,2,3.48,0.75,0.79,0.00,0.00,0.00
Derick Hall,LB,SEA,25,2,6.02,0.78,1.02,0.00,0.00,0.00
SirVocea Dennis,LB,TB,26,2,7.39,0.62,0.75,0.00,0.00,0.00
DaQuan Jones,DL,BUF,35,11,5.52,0.65,0.85,0.00,0.00,0.00
Marte Mapu,LB,NE,27,2,5.12,0.69,1.02,0.00,0.00,0.00
Alex Anzalone,LB,DET,32,8,9.08,0.82,0.61,0.00,0.00,0.00
Kawaan Baker,WR,GB,28,4,4.97,0.69,0.00,0.00,0.00,0.00
Bryan Bresee,DL,NO,25,2,6.68,0.80,0.89,0.00,0.00,0.00
Sharif Finch,LB,NO,31,3,0.00,0.68,,0.00,0.00,0.00
Dylan Horton,DL,HOU,26,2,3.94,0.55,0.75,0.00,0.00,0.00
Nolan Smith,LB,PHI,25,2,5.83,0.74,0.92,0.00,0.00,0.00
Jack Campbell,LB,DET,26,2,8.18,0.94,0.68,0.00,0.00,0.00
Payne Durham,TE,TB,26,2,3.36,0.43,0.84,0.00,0.00,0.00
Kellen Mond,QB,IND,27,2,10.87,0.71,0.00,0.00,0.00,0.00
Jordan Smith,LB,KC,29,2,4.47,0.68,0.00,0.00,0.00,0.00
Doug Costin,DL,LV,29,3,4.44,0.68,0.00,0.00,0.00,0.00
Shawn Davis,DB,GB,29,1,0.00,0.66,,0.00,0.00,0.00
Zach Ertz,TE,WAS,36,12,9.33,0.74,0.56,0.00,0.00,0.00
Willie Harvey,LB,DAL,30,5,4.51,0.69,0.00,0.00,0.00,0.00
Jordan Veasy,WR,LV,31,4,0.00,0.68,,0.00,0.00,0.00
Grady Jarrett,DL,CHI,33,10,6.58,0.72,0.78,0.00,0.00,0.00
Kevin Peterson,DB,ARI,32,5,5.22,0.69,1.12,0.00,0.00,0.00
Woodrow Hamilton,DL,NYG,34,5,0.00,0.66,,0.00,0.00,0.00
Lavonte David,LB,TB,36,13,10.29,0.89,0.63,0.00,0.00,0.00
Arik Armstead,DL,JAX,33,10,6.20,0.70,0.90,0.00,0.00,0.00
Bud Dupree,LB,LAC,33,10,6.73,0.68,0.95,0.00,0.00,0.00
Mark Nzeocha,LB,SF,36,6,4.51,0.69,0.00,0.00,0.00,0.00
Ian Book,QB,PHI,28,3,11.19,0.71,0.00,0.00,0.00,0.00
Corn Elder,DB,WAS,32,5,5.34,0.69,1.19,0.00,0.00,0.00
DeMarcus Lawrence,LB,SEA,34,11,9.75,0.68,0.78,0.00,0.00,0.00
Shaq Thompson,LB,BUF,32,10,7.31,0.59,0.78,0.00,0.00,0.00
Keion White,DL,SF,27,2,6.39,0.69,0.99,0.00,0.00,0.00
Quan Martin,DB,WAS,26,2,5.88,0.85,0.87,0.00,0.00,0.00
Calais Campbell,DL,ARI,40,17,8.54,0.81,0.70,0.00,0.00,0.00
Joe Flacco,QB,CIN,41,17,15.50,0.54,0.66,0.00,0.00,0.00
Cameron Jordan,LB,NO,37,14,9.41,0.81,0.88,0.00,0.00,0.00
Marquiss Spencer,DL,PIT,29,3,0.00,0.66,,0.00,0.00,0.00
Frank Herron,DL,CAR,32,4,4.47,0.68,0.00,0.00,0.00,0.00
KeiVarae Russell,DB,NO,33,5,5.18,0.68,0.00,0.00,0.00,0.00
Will Compton,LB,LV,37,8,0.00,0.68,,0.00,0.00,0.00
Mike Daniels,DL,CIN,37,9,4.75,0.68,0.00,0.00,0.00,0.00
Demario Davis,LB,NO,37,13,9.14,0.92,0.73,0.00,0.00,0.00
Chris Milton,DB,MIA,34,5,0.00,0.66,,0.00,0.00,0.00
Sean Mannion,QB,SEA,34,8,11.51,0.71,0.00,0.00,0.00,0.00
Seth Williams,WR,DAL,26,3,4.99,0.69,0.00,0.00,0.00,0.00
Trayvon Henderson,DB,CIN,31,4,5.37,0.68,0.00,0.00,0.00,0.00
Rashod Berry,LB,IND,30,2,4.18,0.71,0.26,0.00,0.00,0.00
Kayshon Boutte,WR,NE,24,2,6.24,0.69,0.83,0.00,0.00,0.00
Keandre Jones,LB,WAS,29,4,4.51,0.69,0.00,0.00,0.00,0.00
Mekhi Blackmon,DB,IND,27,2,6.64,0.86,0.69,0.00,0.00,0.00
Dante Stills,DL,ARI,27,2,4.87,0.74,1.04,0.00,0.00,0.00
Derius Davis,WR,LAC,26,2,3.50,0.63,1.08,0.00,0.00,0.00
Isaiah McGuire,DL,CLE,25,2,6.54,0.59,0.91,0.00,0.00,0.00
Yaya Diaby,LB,TB,27,2,8.61,0.87,0.80,0.00,0.00,0.00
Jay Ward,DB,MIN,26,2,4.07,0.49,0.54,0.00,0.00,0.00
Justin Shorter,WR,LV,26,2,0.00,0.34,,0.00,0.00,0.00
Josh Watson,LB,CAR,30,3,0.00,0.68,,0.00,0.00,0.00
Braxton Hoyett,DL,NO,30,2,4.73,0.68,0.00,0.00,0.00,0.00
Henry To'oTo'o,LB,HOU,25,2,6.37,0.87,0.72,0.00,0.00,0.00
Dorian Williams,LB,BUF,25,2,5.02,0.81,0.76,0.00,0.00,0.00
LaRoy Reynolds,LB,NE,36,8,4.51,0.69,0.00,0.00,0.00,0.00
Jordan Battle,DB,CIN,26,2,7.22,0.80,0.82,0.00,0.00,0.00
Kenjon Barner,RB,TB,37,9,0.00,0.65,,0.00,0.00,0.00
Charlie Jones,WR,CIN,28,2,4.73,0.33,1.06,0.00,0.00,0.00
Jaquan Brisker,DB,CHI,27,3,8.32,0.77,0.67,0.00,0.00,0.00
Coby Bryant,DB,SEA,27,3,7.35,0.76,0.72,0.00,0.00,0.00
Xavier Smith,WR,LA,29,2,4.15,0.66,0.95,0.00,0.00,0.00
Kyu Blu Kelly,DB,LV,25,2,6.51,0.46,0.80,0.00,0.00,0.00
Jalen Carter,DL,PHI,25,2,8.22,0.78,0.75,0.00,0.00,0.00
Colby Wooden,DL,GB,26,2,4.20,0.66,0.64,0.00,0.00,0.00
Marvin Hall,WR,JAX,33,6,4.98,0.69,0.00,0.00,0.00,0.00
Xavier Hutchinson,WR,HOU,26,2,5.06,0.74,0.95,0.00,0.00,0.00
DeMario Douglas,WR,NE,26,2,6.60,0.88,0.62,0.00,0.00,0.00
Dee Virgin,DB,CHI,33,4,5.26,0.68,0.00,0.00,0.00,0.00
Ken Crawley,DB,SF,33,6,5.04,0.69,0.47,0.00,0.00,0.00
Will McDonald IV,DL,NYJ,27,2,9.22,0.72,1.05,0.00,0.00,0.00
Luke Musgrave,TE,GB,26,2,3.98,0.65,0.74,0.00,0.00,0.00
Cory Durden,DL,NE,27,2,3.87,0.46,0.63,0.00,0.00,0.00
Mohamoud Diabate,LB,CLE,25,2,4.46,0.66,0.82,0.00,0.00,0.00
Antonio Johnson,DB,JAX,25,2,7.01,0.78,0.91,0.00,0.00,0.00
Brian Hill,RB,SF,31,6,0.00,0.65,,0.00,0.00,0.00
Ronnie Hickman Jr.,DB,CLE,25,2,5.87,0.73,0.76,0.00,0.00,0.00
Owen Pappoe,LB,ARI,26,2,4.04,0.54,0.90,0.00,0.00,0.00
Shaka Heyward,LB,CIN,26,2,3.92,0.49,1.31,0.00,0.00,0.00
Julian Hill,TE,MIA,26,2,3.15,0.58,0.60,0.00,0.00,0.00
Jalen Redmond,DL,MIN,27,2,7.15,0.75,0.74,0.00,0.00,0.00
Ivan Pace Jr.,LB,MIN,26,2,7.29,0.73,0.80,0.00,0.00,0.00
Mac McCain III,DB,NO,28,3,5.15,0.68,0.00,0.00,0.00,0.00
Tarik Black,WR,MIA,28,3,5.04,0.69,0.00,0.00,0.00,0.00
Joey Porter Jr.,DB,PIT,26,2,6.72,0.84,0.79,0.00,0.00,0.00
Devon Witherspoon,DB,SEA,26,2,9.19,0.82,0.86,0.00,0.00,0.00
C.J. Saunders,WR,ATL,30,2,5.05,0.69,0.00,0.00,0.00,0.00
Ethan Westbrooks,DL,NO,36,7,4.47,0.68,0.00,0.00,0.00,0.00
Tyler Shelvin,DL,TEN,30,2,4.47,0.68,0.00,0.00,0.00,0.00
Keeanu Benton,DL,PIT,25,2,5.82,0.83,0.93,0.00,0.00,0.00
Tuli Tuipulotu,LB,LAC,24,2,10.49,0.84,0.98,0.00,0.00,0.00
Lukas Van Ness,DL,GB,25,2,5.95,0.70,0.76,0.00,0.00,0.00
Byron Young,LB,LA,28,2,9.51,0.93,0.76,0.00,0.00,0.00
Kobie Turner,DL,LA,27,2,8.56,0.88,0.96,0.00,0.00,0.00
Tahir Whitehead,LB,ARI,36,9,0.00,0.68,,0.00,0.00,0.00
Michael Mayer,TE,LV,25,2,4.85,0.71,0.85,0.00,0.00,0.00
Austin Ajiake,LB,IND,26,2,3.95,0.72,0.67,0.00,0.00,0.00
Brenton Strange,TE,JAX,26,2,5.87,0.67,0.63,0.00,0.00,0.00
Adetomiwa Adebawore,DL,IND,25,2,5.48,0.54,0.78,0.00,0.00,0.00
Marvin Mims Jr.,WR,DEN,24,2,5.41,0.85,1.05,0.00,0.00,0.00
Byron Young,DL,PHI,26,2,4.71,0.58,1.32,0.00,0.00,0.00
Cedric Tillman,WR,CLE,26,2,6.32,0.67,1.05,0.00,0.00,0.00
Zach Harrison,DL,ATL,25,2,6.59,0.55,1.03,0.00,0.00,0.00
Chamarri Conner,DB,KC,26,2,7.24,0.86,0.81,0.00,0.00,0.00
Nic Jones,DB,NYG,25,2,4.70,0.46,1.02,0.00,0.00,0.00
Ryan Miller,WR,NYG,26,2,4.06,0.66,0.78,0.00,0.00,0.00
Natrone Brooks,DB,ATL,27,2,4.67,0.50,1.09,0.00,0.00,0.00
Caleb Murphy,LB,NYG,27,2,3.96,0.38,0.60,0.00,0.00,0.00
Tucker Kraft,TE,GB,26,2,5.92,0.74,0.72,0.00,0.00,0.00
Darqueze Dennard,DB,SF,35,8,4.93,0.69,0.38,0.00,0.00,0.00
Drake Thomas,LB,SEA,26,2,7.23,0.55,0.84,0.00,0.00,0.00
Curtis Weaver,DL,CLE,28,2,4.51,0.68,0.00,0.00,0.00,0.00
Dalton Kincaid,TE,BUF,27,2,7.51,0.77,0.53,0.00,0.00,0.00
Michael Ojemudia,DB,DAL,29,5,6.18,0.68,0.00,0.00,0.00,0.00
Brycen Tremayne,WR,CAR,27,2,4.00,0.58,0.85,0.00,0.00,0.00
Malcolm Koonce,DL,LV,28,4,7.49,0.62,1.02,0.00,0.00,0.00
Divine Deablo,LB,ATL,28,4,6.49,0.72,0.57,0.00,0.00,0.00
Elijah Molden,DB,LAC,27,4,6.45,0.67,0.81,0.00,0.00,0.00
Ifeatu Melifonwu,DB,MIA,27,4,7.17,0.50,1.08,0.00,0.00,0.00
Kingsley Enagbare,DL,GB,26,3,6.30,0.72,0.92,0.00,0.00,0.00
Cyril Grayson,WR,CLE,33,5,5.45,0.72,0.31,0.00,0.00,0.00
George Karlaftis,DL,KC,25,3,9.16,0.86,0.78,0.00,0.00,0.00
Dorian O'Daniel,LB,KC,32,3,4.24,0.72,0.43,0.00,0.00,0.00
